part,part_name,op,op_desc,bom_item,part_number,description,quantity,unit,cost,supplier,order_number,missing
R2S1-AD181-001-01,"LABOR, MACHG TI TX PLATE, 2026",2010,Shipping,2,,,,per part,,,PAC-131,"NO PN & NO DESC, NO COST, NO SUPPLIER, NO QTY"
R2S1-AD201-01-0102,2022 Front Plate,2010,Shipping / Cleaning,1,,,,per part,,,PAC-131,"NO PN & NO DESC, NO COST, NO SUPPLIER, NO QTY"
R2S1-AD201-01-0102,2022 Front Plate,2010,Shipping / Cleaning,2,,,,per part,,,PAC-130,"NO PN & NO DESC, NO COST, NO SUPPLIER, NO QTY"
R2S1-AD232-04-0101,TI G2 TX Face Plate,2010,Shipping,1,,,,per part,,,PAC-131,"NO PN & NO DESC, NO COST, NO SUPPLIER, NO QTY"
R2S1-AD232-04-0101,TI G2 TX Face Plate,2010,Shipping,2,,,,per part,,,PAC-128,"NO PN & NO DESC, NO COST, NO SUPPLIER, NO QTY"
R2S1-AD245-01-0102,Ti Plate - 192 Element,2010,Shipping,1,,,,per part,,,PAC-131,"NO PN & NO DESC, NO COST, NO SUPPLIER, NO QTY"
R2S1-AD245-01-0102,Ti Plate - 192 Element,2010,Shipping,2,,,,per part,,,PAC-130,"NO PN & NO DESC, NO COST, NO SUPPLIER, NO QTY"
R2S1-AD246-02-0101,"LABOR MACH, TI G2 TX FACE PLATE, L/M",2010,Shipping,1,,,,per part,,,PAC-131,"NO PN & NO DESC, NO COST, NO SUPPLIER, NO QTY"
R2S1-AD246-02-0101,"LABOR MACH, TI G2 TX FACE PLATE, L/M",2010,Shipping,2,,,,per part,,,PAC-130,"NO PN & NO DESC, NO COST, NO SUPPLIER, NO QTY"
R2S1-Mod 10591,Mod Temporary Heatsink Wet Controller 5.0,30,"Count incoming parts, note damage if any",1,10591,unmodified part from customer,1,per part,0.0,R2Sonic,,COMPLETE
R3V1-10852,"LID, CAPACITOR BANK",2010,Shipping,1,,PACKAGE IN EVEN AMOUNTS!,4 OR 5,PER BOX,,,PAC-130,"NO PART NUMBER, NO COST, NO SUPPLIER"
RAD1-Beacon Mount,Beacon Mount,1200,Install Magnets and Beacon,1,,beacon,1,per part,,radiant RFID,,"NO PART NUMBER, NO COST"
RAD1-Beacon Mount,Beacon Mount,1200,Install Magnets and Beacon,2,,rubber coated magnet with 6mm stud,2,per part,,,,"NO PART NUMBER, NO COST, NO SUPPLIER"
RAD1-Beacon Mount,Beacon Mount,1200,Install Magnets and Beacon,3,,6mm Nylok Nut (stainless),2,per part,0.075,American Bolt,MET-NLNSM06C00000,NO PART NUMBER
RAD1-Beacon Mount,Beacon Mount,1200,Install Magnets and Beacon,4,,6mm washer (stainless),2,per part,0.054,American Bolt,MET-USSSM06N00000,NO PART NUMBER
RAD1-Beacon Mount,Beacon Mount,1200,Install Magnets and Beacon,5,,6mm x 25 button head socket cap screw (stainless),2,per part,0.186,American Bolt,MET-BSCSM06C02500,NO PART NUMBER
RAD1-Ceiling Tile Bracket,Ceiling Tile Bracket,60,Install inserts,1,,,1,Total,150.0,,,"NO PN & NO DESC, NO SUPPLIER"
RES1-RIGHT SIDE BLOCK,Right-Side-Block,50,Milling 1st op,,,,,per part,,,,"NO PN & NO DESC, NO COST, NO SUPPLIER, NO QTY"
RES1-RIGHT SIDE BLOCK,Right-Side-Block,50,Milling 1st op,,,,,per part,,,,"NO PN & NO DESC, NO COST, NO SUPPLIER, NO QTY"
RES1-RIGHT SIDE BLOCK,Right-Side-Block,50,Milling 1st op,,,,,per part,,,,"NO PN & NO DESC, NO COST, NO SUPPLIER, NO QTY"
ROV1-TES24A-FAB1210,Conveyor Clearance Plate,60,Milling Side 1,,,,,,,,,"NO PN & NO DESC, NO COST, NO SUPPLIER, NO QTY"
ROV1-TES24A-FAB1210,Conveyor Clearance Plate,60,Milling Side 1,,,,,,,,,"NO PN & NO DESC, NO COST, NO SUPPLIER, NO QTY"
ROV1-TES24A-FAB1210,Conveyor Clearance Plate,60,Milling Side 1,,,,,,,,,"NO PN & NO DESC, NO COST, NO SUPPLIER, NO QTY"
